title,upload_date,views,likes,comments,introduction
Distance Vector Algorithm (Bellman Ford) - Computerphile,2020-11-21,76071,2549,112,"Underpinning the Internet are countless network routers - how do they work out the route to send your data along? Dr Richard G Clegg, Queen Mary University of London explains the Bellman Ford distance vector algorithm. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Random Boolean Networks - Computerphile,2020-11-14,60356,2504,227,"Demonstrating how complex systems can arise from simple rules, random boolean networks also have some surprising properties... sometimes! Dr Alex Turner generates some. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
TLS Handshake Explained - Computerphile,2020-11-07,431389,11000,345,"How does your computer arrange with a server to start talking in code? Dr Mike Pound explains the TLS handshake where the server and client organise everything. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
The First Internet Worm (Morris Worm) - Computerphile,2020-10-30,90360,3555,163,"In November 1988 the first worm caused huge problems on the Internet. Dr Julian Onions remembers the story. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Transport Layer Security (TLS) - Computerphile,2020-10-23,371633,10000,308,"It's absolutely everywhere, but what is TLS and where did it come from? Dr Mike Pound explains the background behind this ubiquitous Internet security protocol. Heartbleed, Running the Code: 
https://www.youtube.com/watch?v=1dOCH...
 Secure Web Browsing: 
https://www.youtube.com/watch?v=E_wX4...
 Network Stacks & The Internet: 
https://www.youtube.com/watch?v=PG9oK...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Facebook's Code Checker - Computerphile,2020-10-14,102066,3751,243,"Millions of lines of code - how do you keep them bug free? Facebook's Professor Peter O'Hearn talks us through ""Infer"" their code checker which dallies with the idea of undecidability.  EXTRA BITS: 
https://youtu.be/7rYr6EQS7Co
 Turing & The Halting Problem: 
https://www.youtube.com/watch?v=macM_...
 How Turing Machines Work: 
https://www.youtube.com/watch?v=dNRDv...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Story of Mel - Computerphile,2020-10-07,48525,2149,163,"Breaking the unbreakable loop. More on how self-modifying code can be a neat hack, that's almost unmaintainable. Dr Julian Onions recalls the ""Real Programmer"" story that circulated in the early '80s. Earlier Episodes about Mel: 
https://www.youtube.com/playlist?list...
 Wheeler Jump: 
https://youtu.be/zR8V0lq029c
 Alderson Loop: 
https://youtu.be/Rh1IQwXy3Y8
 Inside the CPU: 
https://youtu.be/IAkj32VPcUE
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
The Knapsack Problem & Genetic Algorithms - Computerphile,2020-10-01,164260,6666,254,"Tournament selection, roulette selection, mutation, crossover - all processes used in genetic algorithms. Dr Alex Turner explains using the Knapsack Problem.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
ALGOL 68 Instead of Pascal? - Computerphile,2020-09-24,47965,2202,119,"Computer Scientists had to make choices for what system to use for different student use cases. Professor Brailsford on whether to choose Algol 68 or Pascal. Or both.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Enhancing Video Conferencing - Computerphile,2020-09-18,38176,1400,129,"Virtual Backgrounds and grainy webcams - what else can we do to improve video conferencing? Dr Max Wilson on a couple of innovations you can try today.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Brain-Like (Neuromorphic) Computing - Computerphile,2020-09-10,147772,9526,635,"Memristors, Artificial Synapses & Neomorphic Computing. Dr Phil Moriarty on the limitations of the Von Neumann architecture and what could be next. Phil's blog post: 
https://muircheartblog.wpcomstaging.c...
 Von Neumann Architecture: 
https://www.youtube.com/watch?v=Ml3-k...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
1111111111111111111111111111111 & Unix Epoch - Computerphile,2020-09-02,88341,4569,362,"The highest signed 32bit integer is a ticking timebomb - sort of... Dr Tim Muller explains why it's his 
#MegaFavNumber
  This re-upload features a slight repair to the audio where Dr Muller mis-spoke 'un-signed' instead of signed
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Laziness in Python - Computerphile,2020-08-27,352233,12000,646,"Laziness is a virtue - well, in programming anyway! Professor Thorsten Altenkirch on how you can use the 'yield' to compute certain things ""on demand""To Infinity & Beyond: 
https://www.youtube.com/watch?v=bnRNi...
 Python Sudoku Solver: 
https://www.youtube.com/watch?v=G_UYX...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
What NOT to do: Self Modifying Code - Computerphile,2020-08-21,172214,6402,561,"How 'not to code' with our ""real"" programmer - who, as Julian explains, is demoing what NOT to do. Dr Julian Onions tells us more about Mel. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Julian Onions and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Pascal (Not Just Nickel & Dime) - Computerphile,2020-08-14,50968,2337,194,"Pascal evolved from Algol 60. Professor Brailsford discusses the rift in the Algol committee that led to its creation.Brian Kernighan's Bell Labs Memo: 
http://www.eprg.org/computerphile/pas...
EXTRA BITS: 
https://youtu.be/nA_FXCzibgw
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Mike Pound Q&A - Computerphile,2020-08-05,120282,4862,178,"We put some of your questions to Dr Mike Pound. Stolen Bitcoing Tracing - Ross Anderson: 
https://youtu.be/UlLN0QERWBs
 Feistel Cipher: 
https://youtu.be/FGhj3CGxl8I
 AES Explained: 
https://youtu.be/O4xNJsjtN6E
 Elliptic Curve Back Door: 
https://youtu.be/nybVFJVXbww
 Parsing Explained: 
https://youtu.be/bxpc9Pp5pZM
Data Analysis Learning Playlist: 
https://www.youtube.com/playlist?list...
 Secret Key Exchange (Diffie-Hellman): 
https://youtu.be/NmM9HA2MQGI
 Professor Ross Anderson's Book: 
https://bit.ly/39LH4yl
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
"""Real"" Programmers & Drum Memory - Computerphile",2020-07-31,65935,2398,272,"Discussing ""Real"" Programmers from the early days of computing with Dr Julian Onions. n.b. When Julian mentions ""Real"" programmers, he refers to the endless jokes that circulated on early online communities like Usenet.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
DNS Cache Poisoning - Computerphile,2020-07-23,248740,10000,334,"Poisoning the DNS cache is a sure way to serve malware to unsuspecting users. Dr Mike Pound explains some of the ways this has been accomplished. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
How eBooks Work - Computerphile,2020-07-16,105511,3416,225,"What's in an eBook file? Dr Steve Bagley delves inside 'Beautiful Code' to find out.As we used ""Beautiful Code"" as our example, here's a link to the publisher: 
https://bit.ly/3jamZX8
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
How DNS Works - Computerphile,2020-07-09,401034,13000,517,"How do websites marry up to their IP addresses? Dr Mike Pound explains the Domain Name System - DNS.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
GPT3: An Even Bigger Language Model - Computerphile,2020-07-02,353429,10000,1296,"Basic mathematics from a language model? Rob Miles on GPT3, where it seems like size does matter!More from Rob Miles: 
http://bit.ly/Rob_Miles_YouTube
   
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Slopes of Machine Learning - Computerphile,2020-06-26,70437,1679,90,"Coding Partial Derivatives in Python is a good way to understand what Machine Learning ""secret sauce"" has to do. Professor Thorsten Altenkirch explains what it means, and then demos in Python.Thorsten and Isaac's Book: 
https://bit.ly/2p3r5IT
 Thanks to David Domminney Fowler for help with the 3D graphics in this video: 
http://bit.ly/C_DDF_www
  Extra Bits: 
https://youtu.be/Tmk8t5f4G7Y
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
"Pong, Python & PyGame 11 - Computerphile",2020-06-18,35997,1101,81,"Taking the Squash Pong game and using data science to make it AI powered! Dr Isaac Triguero uses regression & nearest neighbour. Playlist of all four videos: 
https://www.youtube.com/playlist?list...
 Thorsten & Isaac's Python programming book: 
https://bit.ly/2p3r5IT
  
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Sean Riley and Isaac Triguero and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
"Pong, Python & Pygame 10 - Computerphile",2020-06-16,36685,1162,103,"Squash-Pong needs a ball and a paddle - Dr Isaac Triguero continues the PyGame mini-series. Watch part 11 before it goes live: 
https://youtu.be/VyrAVNoEf0g
 Thorsten & Isaac's Python programming book: 
https://bit.ly/2p3r5IT
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Sean Riley and Isaac Triguero and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
"Pong, Python & PyGame 01 - Computerphile",2020-06-11,58827,1830,118,"The second part of Dr Isaac Triguero's walkthrough of creating a Pong-like game in Python, using PyGame. Part 00 : 
https://youtu.be/JRLdbt7vK-E
 Part 10 : 
https://youtu.be/Nk3Och0I4ZY
 Thorsten & Isaac's Python programming book: 
https://bit.ly/2p3r5IT
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Sean Riley and Isaac Triguero and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
"Pong, Python & Pygame 00 - Computerphile",2020-06-11,86259,2596,148,"In this mini-series, Dr Isaac Triguero walks us through creating a simple Pong-like game in Python, using the PyGame library. Thorsten & Isaac's Python programming book: 
https://bit.ly/2p3r5IT
 Watch Episode 01 before it goes live: 
https://youtu.be/hHtb-Ohyfu8
 Pong and Object Oriented Programming: 
https://youtu.be/KyTUN6_Z9TM
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Sean Riley and Isaac Triguero and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
ALGOL 60 at 60 - Computerphile,2020-06-04,85020,3428,365,"ALGOL 60, a brand new programming language, 60 years ago! Professor Brailsford used to have to teach it - here he shows us some of the code.EXTRA BITS: 
https://youtu.be/EUuN0WGXWJc
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Tail Recursion Explained - Computerphile,2020-05-28,140211,6687,523,"Improve the efficiency of recursive code by re-writing it to be tail recursive. Professor Graham Hutton explains. EXTRA BITS: 
https://youtu.be/eoi3s_4mAAc
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Modes of Operation - Computerphile,2020-05-21,180229,5412,222,"You don't just 'run a cipher' - you need a mode of operation. Dr Mike Pound explains some relative to the Feistel cipher. 
*This video was filmed before any social distancing guidelines came into effect*
EXTRA BITS: 
https://youtu.be/0abs6qfuLpg
 Feistel Cipher Video: 
https://www.youtube.com/watch?v=FGhj3...
Mike's code: github.com/mikepound/feistel 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
The Video Conferencing Problem - Computerphile,2020-05-15,177222,4470,323,"Zoom, House Party, Teams, Skype or whatever. Dr Steve Bagley on the trade-offs all platforms must balance to keep you connected. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
The Joys of Updating & Upgrading - Computerphile,2020-05-07,101836,4246,625,"Professor Brailsford on why he's updating his OS and Hardware while in isolation (with remote support from Dr Bagley)EXTRA BITS (Sean & the Prof chatting about all sorts!) : 
https://youtu.be/DzTQEXtuWGU
 Contact Tracing: 
https://www.youtube.com/watch?v=EgIg9...
 The Great 202 Jailbreak: 
https://www.youtube.com/watch?v=CVxeu...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Professor Brailsford & Sean Riley and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Contact Tracing Technology - Computerphile,2020-05-01,103799,3391,450,"As we contemplate life after lock-down, what technology could help the health services to work out how viruses can spread? Dr Mike Pound & Dr Steve Bagley chat to Sean. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Mike Pound, Steve Bagley & Sean Riley and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
50 Years of Computer Science: Professor Brailsford Q&A - Computerphile,2020-04-22,89492,3253,161,"We put your questions to Computerphile stalwart Professor Dave Brailsford. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Professor Brailsford and Sean Riley & edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
TCP Meltdown - Computerphile,2020-04-16,208035,6816,373,"Why it's a bad idea to build a Virtual Private Network using TCP. Dr Steve Bagley on TCP over TCP...
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Taming Kerberos - Computerphile,2020-04-09,283415,8314,486,"Kerberos is an authentication method - Dr Mike Pound explains how it works so neatly.EXTRA BITS: Kerberos Q&A 
https://youtu.be/QN4WmZXi4tg
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Curried Functions - Computerphile,2020-04-01,89400,2948,293,"It's all about the input. You can't always give all a function's inputs at the same time. Professor Graham Hutton explains about curried functions.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Graham Hutton and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
VPN & Remote Working - Computerphile,2020-03-26,196328,4900,188,"As we move towards a remote working culture, Dr Steve Bagley remotely connects to explain what VPN is & how it works. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed by Dr Steve Bagley and Sean Riley and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Why My Computer Wants to Forget (How Dynamic Memory Works) - Computerphile,2020-03-19,81714,2896,213,"To save silicon, RAM is built to forget. Dr Steve Bagley explains how dynamic memory saves on space but at a cost.Computer Memory Playlist: 
https://www.youtube.com/playlist?list...
 How Autofocus Works:  
https://youtu.be/B-TOUPXytw4
 Why CPUs have Caches: 
https://youtu.be/6JpLD3PUAZk
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
128 Bit or 256 Bit Encryption? - Computerphile,2020-03-14,300834,10000,566,"What do the various levels of encryption mean, and why use one over another? Dr Mike Pound takes us through the cryptic world of encryption levels. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Nintendo NES FamiCom Creator - Computerphile,2020-03-11,94106,4056,238,"Bring Donkey Kong home! - The unenviable task given to Masayuki Uemura by Nintendo bosses in the early '80s. Unimpressed by Atari's 2600 they set out to bring a true videogame arcade experience into the home.Many thanks to The National Videogame Museum in Sheffield UK for setting up this interview: 
http://bit.ly/C_NVM
 Thanks also to Akinori Nakamura for interpreting for us. See the full (almost) un-edited interview here: 
https://www.youtube.com/watch?v=zYeDq...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Coding Trees in Python - Computerphile,2020-03-05,288541,7537,490,"For Mathematics, trees are more useful than strings. Professor Thorsten Altenkirch takes us through a functional approach to coding them in Python.Thorsten's Python programming book: 
https://bit.ly/2p3r5IT
  
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
RegEx Roman Numerals - Computerphile,2020-02-28,83183,2477,274,"Working with regular expressions to decode Roman Numerals. Professor Brailsford is on the case. EXTRA BITS - Roman Numerals Reminder: 
https://youtu.be/j4opDit220w
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Feistel Cipher - Computerphile,2020-02-19,204782,9109,274,"One of the most elegant solutions for cryptography. Dr Mike Pound explains one of his most favourite ciphers.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
How Autofocus Works - Computerphile,2020-02-15,198124,6044,264,"Why are some cameras faster to focus than others? Dr Andy French explains the different approaches the computers inside cameras use to focus. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Python Sudoku Solver - Computerphile,2020-02-13,1127076,26000,1313,"Fun comes in many forms - playing puzzles, or writing programs that solve the puzzles for you. Professor Thorsten Altenkirch on a recursive Sudoku solver. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Multi-Dimensional Data (as used in Tensors) - Computerphile,2020-02-08,129152,4669,193,"How do computers represent multi-dimensional data? Dr Mike Pound explains the mapping. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Functional Parsing - Computerphile,2020-02-05,112178,3559,343,"Functional or Combinator Parsing explained by Professor Graham Hutton. Professor Hutton's Functional Parsing Library: 
http://bit.ly/C_FunctParsLib
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
AI Safety Gym - Computerphile,2020-01-31,105598,3604,189,"Check out today's sponsor Fasthosts for all of your UK web hosting needs: 
https://www.fasthosts.co.uk/computerp...
Rob Miles discusses the idea of a gym for training AI algorithms.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Using Regular Expressions - Computerphile,2020-01-29,114521,3271,237,"Professor Brailsford takes the theory of RegEx and puts it into practice. EXTRA BITS: 
https://youtu.be/4uMS2ZPsoVw
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Hello World on Sega Megadrive - Computerphile,2020-01-23,70922,2719,224,"Check out today's sponsor Fasthosts for all of your UK web hosting needs: 
https://www.fasthosts.co.uk/computerp...
 Hello World on the Sega Megadrive/Genesis - its quite an involved process to write Hello World on a machine that doesn't even have an operating system. Matt Phillips, of Big Evil Corp demostrates the 'wonky R'More from Matt: 
https://bit.ly/C_BEC
 Thanks to the National Videogame Museum for hosting us: 
https://bit.ly/C_NVM
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Email Endianness Problems - Computerphile,2020-01-18,81304,2530,216,"In the early days the UK had its own thoughts on how email addresses should look. Dr Julian Onions was there!
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Gaming Museum - Computerphile,2020-01-16,44037,1730,134,"Atari to Zelda, the National Videogame Museum has it covered - Conor Clarke gave Computerphile a personal tour.More about the National Videogame Museum: 
http://bit.ly/C_NVM
  Tanglewood / Sega Game Development: 
https://www.youtube.com/playlist?list...
 AI's Game Playing Challenge: 
https://www.youtube.com/watch?v=5oXyi...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Regular Expressions - Computerphile,2020-01-10,203361,6717,374,"Professor Brailsford on one of our most requested topics. Playlist of Videos the Prof mentioned: 
https://www.youtube.com/playlist?list...
 EXTRA BITS: 
https://youtu.be/-U_ggjfLc1g
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Millennium Bug (20yrs on) - Computerphile,2019-12-31,186252,5965,564,"Was the Y2K bug a complete non-event? Dr Steve Bagley on why it was 'a thing' and how it was worked around.Advanced Encryption Standard Explained: 
https://www.youtube.com/watch?v=O4xNJ...
 Multithreading Explained: 
https://www.youtube.com/watch?v=7ENFe...
 BCD and Double Dabble Algorithm: 
https://www.youtube.com/watch?v=eXIfZ...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Tabs or Spaces? (Soundcheck Question) - Computerphile,2019-12-27,237307,8683,2120,"https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
